
BSSID, First time seen, Last time seen, channel, Speed, Privacy, Cipher, Authentication, Power, # beacons, # IV, LAN IP, ID-length, ESSID, Key
00:00:00:00:00:00, 2023-06-17 16:36:35, 2023-06-17 16:36:55,  1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
E6:63:DA:AD:17:0E, 2023-06-17 16:34:46, 2023-06-17 16:36:43,  6,  54, WPA2, CCMP, PSK, -86,       29,        0,   0.  0.  0.  0,   0, , 
70:F0:96:8D:CE:EF, 2023-06-17 16:34:46, 2023-06-17 16:34:46, 12,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 
96:01:C9:0C:20:6F, 2023-06-17 16:34:45, 2023-06-17 16:36:23, 11,  54, WPA2, CCMP, PSK, -86,       50,        0,   0.  0.  0.  0,  13, Highlycharged, 
E0:63:DA:AD:17:0E, 2023-06-17 16:34:46, 2023-06-17 16:36:39,  6,  54, WPA2, CCMP, PSK, -81,       30,        0,   0.  0.  0.  0,  18, lichtwerkstatt-dev, 
E8:94:F6:78:35:DA, 2023-06-17 16:35:22, 2023-06-17 16:37:03,  7,  54, WPA2, CCMP, PSK, -93,        9,        0,   0.  0.  0.  0,   0, , 
70:F0:96:8E:6B:02, 2023-06-17 16:35:05, 2023-06-17 16:37:06, 11,  54, OPN, ,   , -84,       22,        0,   0.  0.  0.  0,  18, guests.uni-jena.de, 
70:F0:96:8E:6B:00, 2023-06-17 16:34:49, 2023-06-17 16:37:06, 11,  54, WPA2, CCMP, MGT, -83,       24,        5,   0.  0.  0.  0,   7, eduroam, 
70:F0:96:8E:6B:01, 2023-06-17 16:35:09, 2023-06-17 16:37:06, 11,  54, OPN, ,   , -83,       23,        0,   0.  0.  0.  0,   8, MeinJena, 
70:F0:96:8E:55:60, 2023-06-17 16:35:10, 2023-06-17 16:37:11,  1,  54, WPA2, CCMP, MGT, -82,       33,        1,   0.  0.  0.  0,   7, eduroam, 
AC:4A:56:E3:AE:61, 2023-06-17 16:34:46, 2023-06-17 16:37:18,  6,  54, OPN, ,   , -83,       71,        0,   0.  0.  0.  0,   8, MeinJena, 
AC:4A:56:E3:AA:A0, 2023-06-17 16:34:42, 2023-06-17 16:37:11,  1,  54, WPA2, CCMP, MGT, -82,       40,        1,   0.  0.  0.  0,   7, eduroam, 
70:F0:96:8E:55:61, 2023-06-17 16:35:06, 2023-06-17 16:37:19,  1,  54, OPN, ,   , -84,       41,        0,   0.  0.  0.  0,   8, MeinJena, 
BA:7B:0D:E6:DD:95, 2023-06-17 16:34:46, 2023-06-17 16:37:18,  6,  54, WPA3 WPA2, CCMP, SAE PSK, -79,       24,        8,   0.  0.  0.  0,  16, , 
AC:4A:56:E3:AE:60, 2023-06-17 16:34:46, 2023-06-17 16:37:18,  6,  54, WPA2, CCMP, MGT, -83,       71,        0,   0.  0.  0.  0,   7, eduroam, 
AC:4A:56:E3:AA:A1, 2023-06-17 16:34:42, 2023-06-17 16:37:11,  1,  54, OPN, ,   , -80,       37,        0,   0.  0.  0.  0,   8, MeinJena, 
70:F0:96:8E:55:62, 2023-06-17 16:35:06, 2023-06-17 16:37:19,  1,  54, OPN, ,   , -84,       37,        0,   0.  0.  0.  0,  18, guests.uni-jena.de, 
04:5F:B9:E7:4D:21, 2023-06-17 16:34:46, 2023-06-17 16:37:19,  1,  54, OPN, ,   , -80,       74,        0,   0.  0.  0.  0,   8, MeinJena, 
04:5F:B9:E7:4D:20, 2023-06-17 16:34:46, 2023-06-17 16:37:19,  1,  54, WPA2, CCMP, MGT, -78,       71,        0,   0.  0.  0.  0,   7, eduroam, 
70:F0:96:8D:CE:E2, 2023-06-17 16:34:42, 2023-06-17 16:37:19,  1,  54, OPN, ,   , -71,       86,        0,   0.  0.  0.  0,  18, guests.uni-jena.de, 
70:F0:96:8D:CE:E1, 2023-06-17 16:34:42, 2023-06-17 16:37:19,  1,  54, OPN, ,   , -70,       83,        0,   0.  0.  0.  0,   8, MeinJena, 
70:F0:96:8D:CE:E0, 2023-06-17 16:34:42, 2023-06-17 16:37:19,  1,  54, WPA2, CCMP, MGT, -72,       67,       26,   0.  0.  0.  0,   7, eduroam, 
BE:A8:A6:5E:67:26, 2023-06-17 16:34:45, 2023-06-17 16:37:18, 11,  54, WPA2, CCMP, PSK, -67,       87,        2,   0.  0.  0.  0,  20, DESKTOP-1CU1HCN 4473, 
70:F0:96:8E:1C:60, 2023-06-17 16:34:42, 2023-06-17 16:37:19,  1,  54, WPA2, CCMP, MGT, -51,       74,        0,   0.  0.  0.  0,   7, eduroam, 
70:F0:96:8E:1C:62, 2023-06-17 16:34:42, 2023-06-17 16:37:19,  1,  54, OPN, ,   , -51,       84,        0,   0.  0.  0.  0,  18, guests.uni-jena.de, 
70:F0:96:8E:1C:61, 2023-06-17 16:34:42, 2023-06-17 16:37:19,  1,  54, OPN, ,   , -51,       82,        0,   0.  0.  0.  0,   8, MeinJena, 
70:F0:96:8E:66:22, 2023-06-17 16:34:45, 2023-06-17 16:37:18, 11,  54, OPN, ,   , -50,       98,        0,   0.  0.  0.  0,  18, guests.uni-jena.de, 
70:F0:96:8E:66:20, 2023-06-17 16:34:45, 2023-06-17 16:37:18, 11,  54, WPA2, CCMP, MGT, -50,       99,        0,   0.  0.  0.  0,   7, eduroam, 
70:F0:96:8E:66:21, 2023-06-17 16:34:45, 2023-06-17 16:37:18, 11,  54, OPN, ,   , -50,      100,        0,   0.  0.  0.  0,   8, MeinJena, 
F2:6A:D0:9C:2E:81, 2023-06-17 16:34:43, 2023-06-17 16:37:19,  7,  54, WPA2, CCMP, PSK, -48,       84,        4,   0.  0.  0.  0,   6, MyWlan, 
00:25:00:FF:94:73, 2023-06-17 16:34:46, 2023-06-17 16:37:18, -1,  -1, , ,   ,  -1,        0,        0,   0.  0.  0.  0,   0, , 

Station MAC, First time seen, Last time seen, Power, # packets, BSSID, Probed ESSIDs
E2:CC:F8:51:1A:59, 2023-06-17 16:35:53, 2023-06-17 16:35:53, -43,        4, (not associated) ,HUAWEI-B535-7170,Strongman
B2:91:D2:AE:59:FB, 2023-06-17 16:35:52, 2023-06-17 16:35:52, -53,        2, (not associated) ,
7E:77:BE:E8:81:F6, 2023-06-17 16:35:52, 2023-06-17 16:35:52, -55,        1, (not associated) ,
1E:1D:28:45:C3:B8, 2023-06-17 16:35:38, 2023-06-17 16:35:38, -45,        2, (not associated) ,
C6:B5:73:00:30:5F, 2023-06-17 16:35:38, 2023-06-17 16:35:38, -45,        2, (not associated) ,
92:A9:DA:EF:13:82, 2023-06-17 16:35:41, 2023-06-17 16:35:41, -49,        1, (not associated) ,
46:D1:2E:10:6B:C0, 2023-06-17 16:35:39, 2023-06-17 16:35:39, -53,        2, (not associated) ,Telekom_SIM
BC:A8:A6:5E:67:26, 2023-06-17 16:35:40, 2023-06-17 16:35:41, -57,        2, (not associated) ,
56:5F:36:ED:3A:83, 2023-06-17 16:35:41, 2023-06-17 16:35:41, -71,        1, (not associated) ,
9C:B6:D0:89:9C:DF, 2023-06-17 16:34:43, 2023-06-17 16:35:37, -79,       16, F2:6A:D0:9C:2E:81,
56:04:43:68:77:F7, 2023-06-17 16:35:27, 2023-06-17 16:35:27, -41,        4, (not associated) ,Telekom_SIM
7E:61:14:2B:8D:9D, 2023-06-17 16:35:29, 2023-06-17 16:35:29, -47,        2, (not associated) ,
EA:DA:C3:D6:77:13, 2023-06-17 16:35:24, 2023-06-17 16:35:24, -53,        2, (not associated) ,
7C:9E:BD:61:1A:D8, 2023-06-17 16:34:57, 2023-06-17 16:35:28, -65,        6, 70:F0:96:8E:6B:00,
66:68:AE:B9:C1:68, 2023-06-17 16:35:25, 2023-06-17 16:35:25, -71,        2, (not associated) ,
8A:07:FF:66:38:99, 2023-06-17 16:35:25, 2023-06-17 16:35:25, -71,        1, BA:7B:0D:E6:DD:95,
E2:86:36:64:C3:A6, 2023-06-17 16:35:17, 2023-06-17 16:35:17, -53,        2, (not associated) ,
76:DB:94:A7:7F:EE, 2023-06-17 16:35:14, 2023-06-17 16:35:14, -53,        6, (not associated) ,Telekom_SIM
0A:C8:C2:AF:2E:E5, 2023-06-17 16:35:12, 2023-06-17 16:35:12, -67,        4, (not associated) ,
E2:CC:F8:85:EC:83, 2023-06-17 16:34:52, 2023-06-17 16:34:52, -43,        3, (not associated) ,HUAWEI-B535-7170,Strongman
4E:9B:7B:E2:49:39, 2023-06-17 16:34:52, 2023-06-17 16:34:52, -49,        2, (not associated) ,
24:2E:02:4F:F9:E4, 2023-06-17 16:34:46, 2023-06-17 16:34:46, -81,        1, 70:F0:96:8D:CE:E2,
EE:62:37:D4:D7:A2, 2023-06-17 16:34:45, 2023-06-17 16:34:45, -79,        2, (not associated) ,
DE:48:0D:59:A2:F9, 2023-06-17 16:34:45, 2023-06-17 16:34:45, -77,        2, (not associated) ,
42:C5:1C:77:76:F5, 2023-06-17 16:34:58, 2023-06-17 16:34:58, -51,        1, (not associated) ,
86:51:16:93:55:B6, 2023-06-17 16:34:56, 2023-06-17 16:34:56, -47,        1, (not associated) ,
E6:73:CD:A1:D4:53, 2023-06-17 16:35:06, 2023-06-17 16:35:06, -53,        1, (not associated) ,
16:5C:F5:52:C3:FE, 2023-06-17 16:35:09, 2023-06-17 16:35:09, -51,        1, (not associated) ,
12:EC:EA:37:0C:72, 2023-06-17 16:35:10, 2023-06-17 16:35:10, -49,        2, (not associated) ,
06:F8:1E:5A:79:AE, 2023-06-17 16:35:10, 2023-06-17 16:35:10, -49,        1, (not associated) ,
72:3C:1B:8C:2E:F2, 2023-06-17 16:35:07, 2023-06-17 16:35:07, -47,        2, (not associated) ,
5E:62:48:A8:28:84, 2023-06-17 16:35:23, 2023-06-17 16:35:23, -55,        1, (not associated) ,
CE:3F:26:9E:46:A5, 2023-06-17 16:35:22, 2023-06-17 16:35:22, -47,        4, (not associated) ,Telekom_SIM
1A:5B:13:02:DF:61, 2023-06-17 16:35:34, 2023-06-17 16:35:34, -49,        2, (not associated) ,
9E:73:AD:2E:5D:CC, 2023-06-17 16:35:32, 2023-06-17 16:35:33, -47,        6, (not associated) ,Telekom_SIM
5E:E1:A1:37:33:95, 2023-06-17 16:35:35, 2023-06-17 16:35:35, -45,        2, (not associated) ,
BA:5C:C1:E7:EF:F1, 2023-06-17 16:35:32, 2023-06-17 16:35:33, -41,        2, 00:25:00:FF:94:73,
2A:4F:14:72:A8:A3, 2023-06-17 16:35:30, 2023-06-17 16:35:30, -35,        2, (not associated) ,
7C:9E:BD:61:12:08, 2023-06-17 16:34:49, 2023-06-17 16:35:44, -63,       11, 70:F0:96:8E:6B:00,
5A:6B:61:6B:E7:D5, 2023-06-17 16:35:56, 2023-06-17 16:35:56, -57,        1, (not associated) ,
72:C4:CA:1F:7E:8C, 2023-06-17 16:35:56, 2023-06-17 16:35:57, -37,        2, (not associated) ,
50:EB:71:B1:8D:B6, 2023-06-17 16:36:07, 2023-06-17 16:36:07, -57,        1, (not associated) ,eduroam
AE:1F:74:36:02:AC, 2023-06-17 16:36:11, 2023-06-17 16:36:11, -47,        2, (not associated) ,
26:51:3A:79:28:19, 2023-06-17 16:36:08, 2023-06-17 16:36:08, -45,        1, (not associated) ,
72:6A:15:AC:00:C7, 2023-06-17 16:36:09, 2023-06-17 16:36:09, -45,        2, (not associated) ,
FE:97:ED:4A:75:6B, 2023-06-17 16:36:11, 2023-06-17 16:36:11, -39,        2, (not associated) ,
B6:17:5B:5B:11:B0, 2023-06-17 16:35:41, 2023-06-17 16:36:55, -91,       83, 70:F0:96:8D:CE:E0,eduroam
3A:57:B5:93:42:F5, 2023-06-17 16:35:31, 2023-06-17 16:36:23, -85,        3, (not associated) ,eduroam
